REF_AREA,TIME_PERIOD,OBS_VALUE,category
CRI,III 2010,1877873,Employment
CRI,IV 2010,1882650,Employment
CRI,I 2011,1798145,Employment
CRI,II 2011,1757486,Employment
CRI,III 2011,1834884,Employment
CRI,IV 2011,1916314,Employment
CRI,I 2012,1991295,Employment
CRI,II 2012,1966302,Employment
CRI,III 2012,1997644,Employment
CRI,IV 2012,1992004,Employment
CRI,I 2013,1980551,Employment
CRI,II 2013,2008149,Employment
CRI,III 2013,2026457,Employment
CRI,IV 2013,2088141,Employment
CRI,I 2014,2083585,Employment
CRI,II 2014,2047882,Employment
CRI,III 2014,2065629,Employment
CRI,IV 2014,2057517,Employment
CRI,I 2015,2050992,Employment
CRI,II 2015,2085417,Employment
CRI,III 2015,2062575,Employment
CRI,IV 2015,2027135,Employment
CRI,I 2016,1992191,Employment
CRI,II 2016,1954250,Employment
CRI,III 2016,1971967,Employment
CRI,IV 2016,2063366,Employment
CRI,I 2017,2060670,Employment
CRI,II 2017,2079760,Employment
CRI,III 2017,2068397,Employment
CRI,IV 2017,1995256,Employment
CRI,I 2018,2004458,Employment
CRI,II 2018,2159946,Employment
CRI,III 2018,2137564,Employment
CRI,IV 2018,2164030,Employment
CRI,I 2019,2168907,Employment
CRI,II 2019,2182150,Employment
CRI,III 2019,2161112,Employment
CRI,IV 2019,2182280,Employment
CRI,I 2020,2205425,Employment
CRI,II 2020,1745095,Employment
CRI,III 2020,1845794,Employment
CRI,IV 2020,1951684,Employment
CRI,I 2021,1991896,Employment
CRI,II 2021,1968139,Employment
CRI,III 2021,2091667,Employment
CRI,IV 2021,2103708,Employment
CRI,I 2022,2101449,Employment
CRI,II 2022,2153737,Employment
CRI,III 2022,2187884,Employment
CRI,IV 2022,2173061,Employment
CRI,I 2023,2097048,Employment
CRI,II 2023,2121046,Employment
CRI,III 2023,2077292,Employment
CRI,IV 2023,2080392,Employment
CRI,I 2024,2157259,Employment
CRI,II 2024,2156791,Employment
CRI,III 2024,2255119,Employment
CRI,IV 2024,2231211,Employment